o_zone_id,d_zone_id,distance,node_sequence,link_sequence
1000001,1000002,19856.38,1000001;1500001;1500073;1500029;1500041;1500055;1500017;1500004;1000002,1000362;1000013;1000014;1000015;1000016;1000017;1000018;1000369
1000001,1000003,1851.28,1000001;1500115;1500121;1000003,1000590;1000146;1000603
1000001,1000004,21857.40,1000001;1500001;1500073;1500029;1500041;1500055;1500017;1500004;1500010;1000004,1000362;1000013;1000014;1000015;1000016;1000017;1000018;1000019;1000381
1000001,1000005,62861.87,1000001;1500115;1500121;1500152;1500175;1500161;1500149;1500184;1500166;1500137;1500158;1500169;1500163;1500126;1000005,1000590;1000146;1000147;1000148;1000149;1000150;1000151;1000152;1000153;1000154;1000155;1000156;1000157;1000613
1000001,1000006,9853.18,1000001;1500191;1500194;1500224;1500197;1000006,1000742;1000188;1000189;1000190;1000755
1000001,1000007,26859.47,1000001;1500001;1500073;1500029;1500041;1500055;1500017;1500004;1500010;1500032;1500014;1000007,1000362;1000013;1000014;1000015;1000016;1000017;1000018;1000019;1000020;1000021;1000389
1000001,1000008,18706.04,1000001;1500246;1500257;1500255;1500251;1000013;1500313;1500326;1500309;1000008,1000852;1000241;1000242;1000243;1000863;1000986;1000306;1000307;1000979
1000001,1000009,56713.76,1000001;1500246;1500257;1500255;1500251;1000013;1500313;1500326;1500309;1500320;1500327;1500329;1500317;1500331;1500323;1500311;1000009,1000852;1000241;1000242;1000243;1000863;1000986;1000306;1000307;1000308;1000309;1000310;1000311;1000312;1000313;1000314;1000983
1000001,1000010,24557.81,1000001;1500246;1500257;1500255;1500251;1000013;1500313;1500326;1500309;1000008;1500097;1500098;1000010,1000852;1000241;1000242;1000243;1000863;1000986;1000306;1000307;1000979;1000554;1000104;1000557
1000001,1000011,17705.70,1000001;1500001;1500073;1500029;1500041;1000029;1500089;1500090;1500081;1000011,1000362;1000013;1000014;1000015;1000443;1000538;1000083;1000084;1000523
1000001,1000012,35861.55,1000001;1500001;1500073;1500029;1500041;1500055;1500017;1500004;1500010;1500032;1500014;1500026;1500020;1000012,1000362;1000013;1000014;1000015;1000016;1000017;1000018;1000019;1000020;1000021;1000022;1000023;1000401
1000001,1000013,10853.40,1000001;1500246;1500257;1500255;1500251;1000013,1000852;1000241;1000242;1000243;1000863
1000001,1000014,31707.65,1000001;1500115;1500121;1500152;1500175;1500161;1500149;1500184;1500166;1000035;1500165;1500136;1000014,1000590;1000146;1000147;1000148;1000149;1000150;1000151;1000152;1000693;1000690;1000129;1000633
