name,zone_id,x_coord,y_coord,geometry
12TH,1000001,-122.271589,37.803471,POINT (-122.271589 37.803471)
16TH,1000002,-122.419755,37.765176,POINT (-122.419755 37.765176)
19TH,1000003,-122.268722,37.80806,POINT (-122.268722 37.80806)
24TH,1000004,-122.418518,37.752422,POINT (-122.418518 37.752422)
ANTC,1000005,-121.780353,37.995415,POINT (-121.780353 37.995415)
ASHB,1000006,-122.26975,37.853069,POINT (-122.26975 37.853069)
BALB,1000007,-122.44751,37.721758,POINT (-122.44751 37.721758)
BAYF,1000008,-122.126431,37.696938,POINT (-122.126431 37.696938)
BERY,1000009,-121.874661,37.368495,POINT (-121.874661 37.368495)
CAST,1000010,-122.075615,37.690776,POINT (-122.075615 37.690776)
CIVC,1000011,-122.413879,37.77945,POINT (-122.413879 37.77945)
COLM,1000012,-122.466167,37.684642,POINT (-122.466167 37.684642)
COLS,1000013,-122.196698,37.753604,POINT (-122.196698 37.753604)
CONC,1000014,-122.029126,37.973773,POINT (-122.029126 37.973773)
DALY,1000015,-122.468994,37.706304,POINT (-122.468994 37.706304)
DBRK,1000016,-122.268078,37.870117,POINT (-122.268078 37.870117)
DELN,1000017,-122.316868,37.925205,POINT (-122.316868 37.925205)
DUBL,1000018,-121.899242,37.701692,POINT (-121.899242 37.701692)
EMBR,1000019,-122.39708,37.792789,POINT (-122.39708 37.792789)
FRMT,1000020,-121.976605,37.557513,POINT (-121.976605 37.557513)
FTVL,1000021,-122.224067,37.774873,POINT (-122.224067 37.774873)
GLEN,1000022,-122.433557,37.733269,POINT (-122.433557 37.733269)
HAYW,1000023,-122.086941,37.669731,POINT (-122.086941 37.669731)
LAFY,1000024,-122.124644,37.89322,POINT (-122.124644 37.89322)
LAKE,1000025,-122.265232,37.797357,POINT (-122.265232 37.797357)
MCAR,1000026,-122.267163,37.828814,POINT (-122.267163 37.828814)
MLBR,1000027,-122.38684,37.600199,POINT (-122.38684 37.600199)
MLPT,1000028,-121.890803,37.409836,POINT (-121.890803 37.409836)
MONT,1000029,-122.401642,37.789213,POINT (-122.401642 37.789213)
NBRK,1000030,-122.283508,37.874032,POINT (-122.283508 37.874032)
NCON,1000031,-122.024561,38.003407,POINT (-122.024561 38.003407)
OAKL,1000032,-122.212237,37.713256,POINT (-122.212237 37.713256)
ORIN,1000033,-122.183717,37.878503,POINT (-122.183717 37.878503)
PCTR,1000034,-121.889011,38.016873,POINT (-121.889011 38.016873)
PHIL,1000035,-122.056015,37.928463,POINT (-122.056015 37.928463)
PITT,1000036,-121.944248,38.01895,POINT (-121.944248 38.01895)
PLZA,1000037,-122.298895,37.902633,POINT (-122.298895 37.902633)
POWL,1000038,-122.407387,37.784645,POINT (-122.407387 37.784645)
RICH,1000039,-122.353004,37.936795,POINT (-122.353004 37.936795)
ROCK,1000040,-122.251271,37.844795,POINT (-122.251271 37.844795)
SANL,1000041,-122.160713,37.721806,POINT (-122.160713 37.721806)
SBRN,1000042,-122.416384,37.63772,POINT (-122.416384 37.63772)
SFIA,1000043,-122.391895,37.616023,POINT (-122.391895 37.616023)
SHAY,1000044,-122.057158,37.634363,POINT (-122.057158 37.634363)
SSAN,1000045,-122.444254,37.664437,POINT (-122.444254 37.664437)
UCTY,1000046,-122.01723,37.590765,POINT (-122.01723 37.590765)
WARM,1000047,-121.939358,37.502307,POINT (-121.939358 37.502307)
WCRK,1000048,-122.067379,37.905812,POINT (-122.067379 37.905812)
WDUB,1000049,-121.928301,37.69976,POINT (-121.928301 37.69976)
WOAK,1000050,-122.295144,37.804923,POINT (-122.295144 37.804923)
